,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell ",179 - 223,179 - 223,annealed and cold drawn.
"Hardness, Rockwell B ",93,93,Converted from Brinell
"Hardness, Vickers ",211,211,Converted from Brinell
Bulk Modulus ,160 GPa,23200 ksi,Typical for steels
Machinability ,65 %,65 %,annealed and cold drawn. Based on 100% machinability for AISI 1212 steel.
Electrical Resistivity ,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Boron, B ",0.00050 - 0.0030 %,0.00050 - 0.0030 %,
"Chromium, Cr ",0.30 - 0.60 %,0.30 - 0.60 %,
"Manganese, Mn ",0.70 - 1.05 %,0.70 - 1.05 %,
"Nickel, Ni ",0.15 - 0.45 %,0.15 - 0.45 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
"Hardness, Knoop ",223,223,Converted from Brinell
"Hardness, Rockwell C ",13,13,"Converted from Brinell hardness. Value below normal HRC range, for comparison purposes only."
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel.
Thermal Conductivity ,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Carbon, C ",0.42 - 0.49 %,0.42 - 0.49 %,
"Iron, Fe ",96.882 - 98.20 %,96.882 - 98.20 %,As remainder
"Molybdenum, Mo ",0.080 - 0.15 %,0.080 - 0.15 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
