,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Knoop",371,371,Converted from Rockwell C hardness.
"Hardness, Vickers",358,358,Converted from Rockwell C hardness.
Compressive Yield Strength ,<= 1790 MPa,<= 260000 psi,"Test taken from gears with case depth of 1.1 - 1.5 mm, 60 HRC min. case hardness"
Poissons Ratio,0.29,0.29,Calculated
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel.
Electrical Resistivity,0.0000245 ohm-cm,0.0000245 ohm-cm,Typical 4000 series steel
"CTE, linear","11.3 µm/m-°C @Temperature -18.0 - 95.0 °C","6.28 µin/in-°F @Temperature -0.400 - 203 °F",condition of specimen unknown
Thermal Conductivity,44.5 W/m-K,309 BTU-in/hr-ft²-°F,Typical steel
"Carbon, C",0.17 - 0.22 %,0.17 - 0.22 %,
"Iron, Fe",95.855 - 96.98 %,95.855 - 96.98 %,As remainder
"Molybdenum, Mo",0.20 - 0.30 %,0.20 - 0.30 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
"Hardness, Rockwell C",37,37,
Modulus of Elasticity,205 GPa,29700 ksi,Typical for steel
Bulk Modulus,160 GPa,23200 ksi,Typical for steel.
Machinability,60 %,60 %,annealed and cold drawn. Based on 100% machinability for AISI 1212 steel.
Charpy Impact,"7.00 J @Temperature -185 °C","5.16 ft-lb @Temperature -301 °F",
 ,"14.0 J @Temperature -130 °C","10.3 ft-lb @Temperature -202 °F",
 ,"22.0 J @Temperature -73.0 °C","16.2 ft-lb @Temperature -99.4 °F",
 ,"34.0 J @Temperature -18.0 °C","25.1 ft-lb @Temperature -0.400 °F",
 ,"41.0 J @Temperature 38.0 °C","30.2 ft-lb @Temperature 100 °F",
Specific Heat Capacity,0.475 J/g-°C,0.114 BTU/lb-°F,Typical 4000 series steel
"Chromium, Cr",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn",0.45 - 0.65 %,0.45 - 0.65 %,
"Nickel, Ni",1.65 - 2.0 %,1.65 - 2.0 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
