,Metric,English,Comments
Density,7.85 g/cc,0.284 lb/in³,
"Hardness, Brinell",179 - 235,179 - 235,hot rolled and cold drawn
"Hardness, Rockwell B",93,93,Converted from Brinell
"Hardness, Vickers",217,217,Converted from Brinell
Bulk Modulus,160 GPa,23200 ksi,Typical for steel.
Fracture Toughness ,33.0 - 49.4 MPa-m½,30.0 - 45.0 ksi-in½,cracks originating in case; case depth 0.30 to 0.35 in.
 ,71.4 - 115 MPa-m½,65.0 - 105 ksi-in½,cracks originating in core
Shear Modulus,80.0 GPa,11600 ksi,Typical for steel
Electrical Resistivity,"0.0000300 ohm-cm @Temperature 50.0 °C","0.0000300 ohm-cm @Temperature 122 °F",condition of specimen unknown
 ,"0.0000480 ohm-cm @Temperature 300 °C","0.0000480 ohm-cm @Temperature 572 °F",condition of specimen unknown
Specific Heat Capacity,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C",0.18 - 0.23 %,0.18 - 0.23 %,
"Iron, Fe",96.895 - 97.97 %,96.895 - 97.97 %,As remainder
"Molybdenum, Mo",0.20 - 0.30 %,0.20 - 0.30 %,
"Phosphorous, P",<= 0.035 %,<= 0.035 %,
"Sulfur, S",<= 0.040 %,<= 0.040 %,
"Hardness, Knoop",229,229,Converted from Brinell
"Hardness, Rockwell C",15,15,"Converted from Brinell hardness. Value below normal HRC range, for comparison only."
Modulus of Elasticity,205 GPa,29700 ksi,Typical for steel
Poissons Ratio,0.29,0.29,Calculated
Machinability,65 %,65 %,hot rolled and cold drawn. Based on 100% machinability for AISI 1212 steel.
Thermal Conductivity,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn",0.70 - 0.90 %,0.70 - 0.90 %,
"Nickel, Ni",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si",0.15 - 0.30 %,0.15 - 0.30 %,
