,Metric,English,Comments
Density ,7.87 g/cc,0.284 lb/in³,field average for steels
"Hardness, Brinell ",163 - 202,163 - 202,hot rolled and cold drawn
"Hardness, Rockwell B ",89,89,Converted from Brinell
Modulus of Elasticity ,200 GPa,29000 ksi,Estimated
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel
Electrical Resistivity ,0.0000174 ohm-cm,0.0000174 ohm-cm,Estimated
"CTE, linear  ","11.5 µm/m-°C @Temperature 20.0 °C","6.39 µin/in-°F @Temperature 68.0 °F",
 ,"12.2 µm/m-°C @Temperature 250 °C","6.78 µin/in-°F @Temperature 482 °F",Estimated
 ,"13.9 µm/m-°C @Temperature 500 °C","7.72 µin/in-°F @Temperature 932 °F",
 ,"14.7 µm/m-°C @Temperature 1000 °C","8.17 µin/in-°F @Temperature 1830 °F",
Thermal Conductivity ,51.9 W/m-K,360 BTU-in/hr-ft²-°F,Typical steel
"Boron, B ",0.00050 - 0.0030 %,0.00050 - 0.0030 %,
"Chromium, Cr ",0.30 - 0.50 %,0.30 - 0.50 %,
"Manganese, Mn ",0.75 - 1.0 %,0.75 - 1.0 %,
"Nickel, Ni ",0.30 - 0.60 %,0.30 - 0.60 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
"Hardness, Knoop ",204,204,Converted from Brinell
"Hardness, Vickers ",192,192,Converted from Brinell
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,70 %,70 %,hot rolled and cold drawn. Based on 100% machinability for AISI 1212 steel.
Specific Heat Capacity ,0.472 J/g-°C,0.113 BTU/lb-°F,Estimated
"Carbon, C ",0.13 - 0.18 %,0.13 - 0.18 %,
"Iron, Fe ",97.192 - 98.2895 %,97.192 - 98.2895 %,As remainder
"Molybdenum, Mo ",0.080 - 0.15 %,0.080 - 0.15 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
