,Metric,English,Comments
"Hardness, Vickers ",160,160,
"Tensile Strength, Yield ","400 MPa @Strain 0.200 %","58000 psi @Strain 0.200 %",
Reduction of Area ,60 %,60 %,
Thermal Conductivity  ,"14.0 W/m-K @Temperature 20.0 C","97.2 BTU-in/hr-ft-F @Temperature 68.0 F",
 ,"15.0 W/m-K @Temperature 100 C","104 BTU-in/hr-ft-F @Temperature 212 F",
 ,"17.0 W/m-K @Temperature 300 C","118 BTU-in/hr-ft-F @Temperature 572 F",
 ,"18.0 W/m-K @Temperature 500 C","125 BTU-in/hr-ft-F @Temperature 932 F",
"Carbon, C ",0.015 %,0.015 %,Weld metal
 ,<= 0.0200 %,<= 0.0200 %,AIM
"Cobalt, Co ",<= 0.100 %,<= 0.100 %,AIM
"Manganese, Mn ",1.7 %,1.7 %,Weld metal
 ,1.8 %,1.8 %,AIM
"Nickel, Ni ",13.5 %,13.5 %,AIM
 ,13.5 %,13.5 %,Weld metal
"Phosphorous, P ",0.015 %,0.015 %,Weld metal
 ,<= 0.0200 %,<= 0.0200 %,AIM
"Sulfur, S ",<= 0.0150 %,<= 0.0150 %,AIM
 ,0.015 %,0.015 %,Weld metal
"Tensile Strength, Ultimate ",600 MPa,87000 psi,
Elongation at Break ,40 %,40 %,
Charpy Impact ,140 J,103 ft-lb,
"Chromium, Cr ",23 %,23 %,Weld metal
 ,23.5 %,23.5 %,AIM
"Copper, Cu ",<= 0.200 %,<= 0.200 %,AIM
"Molybdenum, Mo ",<= 0.300 %,<= 0.300 %,AIM
"Nitrogen, N ",0.070 %,0.070 %,Weld Metal
"Silicon, Si ",0.40 %,0.40 %,AIM
 ,0.40 %,0.40 %,Weld metal
