,Metric,English,Comments
"Tensile Strength, Ultimate",>= 620 MPa,>= 89900 psi,
Elongation at Break,>= 30.0 %,>= 30.0 %,
"Carbon, C",<= 0.0500 %,<= 0.0500 %,
"Copper, Cu",<= 0.500 %,<= 0.500 %,
"Manganese, Mn",6.5 %,6.5 %,
"Nickel, Ni",67 %,67 %,
"Phosphorous, P",<= 0.0150 %,<= 0.0150 %,
"Sulfur, S",<= 0.0100 %,<= 0.0100 %,
"Tensile Strength, Yield",">= 360 MPa @Strain 0.200 %",">= 52200 psi @Strain 0.200 %",
Charpy Impact,">= 45.0 J @Temperature -196 C",">= 33.2 ft-lb @Temperature -321 F",
 ,">= 60.0 J @Temperature 20.0 C",">= 44.3 ft-lb @Temperature 68.0 F",
"Chromium, Cr",16 %,16 %,
"Iron, Fe",<= 10.0 %,<= 10.0 %,
"Molybdenum, Mo",<= 1.50 %,<= 1.50 %,
"Niobium, Nb (Columbium, Cb) ",2.5 %,2.5 %,
"Silicon, Si",<= 1.00 %,<= 1.00 %,
