,Metric,English,Comments
Density ,7.85 g/cc,0.284 lb/in³,
"Hardness, Knoop ",478,478,Converted from Rockwell C hardness.
"Hardness, Vickers ",459,459,Converted from Rockwell C hardness.
Bulk Modulus ,160 GPa,23200 ksi,Typical for steel.
Machinability ,65 %,65 %,annealed and cold drawn. Based on AISI 1212 steel as 100% machinability.
Charpy Impact  ,"7.00 J @Temperature -185 °C","5.16 ft-lb @Temperature -301 °F",
 ,"14.0 J @Temperature -130 °C","10.3 ft-lb @Temperature -202 °F",
 ,"19.0 J @Temperature -73.0 °C","14.0 ft-lb @Temperature -99.4 °F",
 ,"27.0 J @Temperature -18.0 °C","19.9 ft-lb @Temperature -0.400 °F",
 ,"31.0 J @Temperature 38.0 °C","22.9 ft-lb @Temperature 100 °F",
Electrical Resistivity ,0.0000234 ohm-cm,0.0000234 ohm-cm,Typical steel
Specific Heat Capacity ,0.475 J/g-°C,0.114 BTU/lb-°F,Typical steel
"Carbon, C ",0.38 - 0.43 %,0.38 - 0.43 %,
"Iron, Fe ",96.645 - 97.77 %,96.645 - 97.77 %,As remainder
"Molybdenum, Mo ",0.15 - 0.25 %,0.15 - 0.25 %,
"Phosphorous, P ",<= 0.035 %,<= 0.035 %,
"Sulfur, S ",<= 0.040 %,<= 0.040 %,
"Hardness, Rockwell C ",46,46,
Modulus of Elasticity ,205 GPa,29700 ksi,Typical for steel
Poissons Ratio ,0.29,0.29,Calculated
Shear Modulus ,80.0 GPa,11600 ksi,Typical for steel
Thermal Conductivity ,46.6 W/m-K,323 BTU-in/hr-ft²-°F,Typical steel
"Chromium, Cr ",0.40 - 0.60 %,0.40 - 0.60 %,
"Manganese, Mn ",0.75 - 1.0 %,0.75 - 1.0 %,
"Nickel, Ni ",0.40 - 0.70 %,0.40 - 0.70 %,
"Silicon, Si ",0.15 - 0.30 %,0.15 - 0.30 %,
